Batch Number,Prompt 1,Prompt 2,Prompt 3,Prompt 4
1,"A beautiful Oak Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Pine Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Maple Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Cherry Blossom Tree, isometric, pixel art, city-building game style, no background, vibrant colors"
2,"A beautiful Palm Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Birch Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Willow Tree, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Spruce Tree, isometric, pixel art, city-building game style, no background, vibrant colors"
3,"A beautiful Flower Bed, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Rose Bush, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Sunflower Patch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Tulip Garden, isometric, pixel art, city-building game style, no background, vibrant colors"
4,"A beautiful Daffodil Cluster, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Lavender Patch, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Hydrangea Bush, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Azalea Bush, isometric, pixel art, city-building game style, no background, vibrant colors"
5,"A beautiful Garden Bench, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Picnic Table, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Wooden Fence, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful White Picket Fence, isometric, pixel art, city-building game style, no background, vibrant colors"
6,"A beautiful Stone Path, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Brick Path, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Gravel Path, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Cobblestone Path, isometric, pixel art, city-building game style, no background, vibrant colors"
7,"A beautiful Fountain, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Bird Bath, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Gazebo, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Pergola, isometric, pixel art, city-building game style, no background, vibrant colors"
8,"A beautiful Arbor, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Trellis, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Ivy Archway, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Topiary, isometric, pixel art, city-building game style, no background, vibrant colors"
9,"A beautiful Small Hedge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Large Hedge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Decorative Rock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Boulder, isometric, pixel art, city-building game style, no background, vibrant colors"
10,"A beautiful Rock Garden, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Water Feature, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Koi Pond, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Lily Pond, isometric, pixel art, city-building game style, no background, vibrant colors"
11,"A beautiful Small Bridge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Wooden Bridge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Stone Bridge, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Lamp Post, isometric, pixel art, city-building game style, no background, vibrant colors"
12,"A beautiful Lantern Post, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Fairy Lights, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful String Lights, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Hanging Lanterns, isometric, pixel art, city-building game style, no background, vibrant colors"
13,"A beautiful Street Clock, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Bicycle Rack, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Trash Can, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Mailbox, isometric, pixel art, city-building game style, no background, vibrant colors"
14,"A beautiful Fire Hydrant, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Community Bulletin Board, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Welcome Sign, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful City Banner, isometric, pixel art, city-building game style, no background, vibrant colors"
15,"A beautiful Community Mural, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Butterfly Sculpture, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Birdhouse, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Squirrel Feeder, isometric, pixel art, city-building game style, no background, vibrant colors"
16,"A beautiful Log Bench, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Tree Stump, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Mushroom Ring, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Flower Pot, isometric, pixel art, city-building game style, no background, vibrant colors"
17,"A beautiful Hanging Basket, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Ivy Trellis, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Arbor Gate, isometric, pixel art, city-building game style, no background, vibrant colors","A beautiful Stone Lantern, isometric, pixel art, city-building game style, no background, vibrant colors"
