Item Name,Category,AI Prompt
Oak Tree,Decoration,A beautiful Oak Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Pine Tree,Decoration,A beautiful Pine Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Maple Tree,Decoration,A beautiful Maple Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Cherry Blossom Tree,Decoration,A beautiful Cherry Blossom Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Palm Tree,Decoration,A beautiful Palm Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Birch Tree,Decoration,A beautiful Birch Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Willow Tree,Decoration,A beautiful Willow Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Spruce Tree,Decoration,A beautiful Spruce Tree, isometric, pixel art, city-building game style, no background, vibrant colors
Flower Bed,Decoration,A beautiful Flower Bed, isometric, pixel art, city-building game style, no background, vibrant colors
Rose Bush,Decoration,A beautiful Rose Bush, isometric, pixel art, city-building game style, no background, vibrant colors
Sunflower Patch,Decoration,A beautiful Sunflower Patch, isometric, pixel art, city-building game style, no background, vibrant colors
Tulip Garden,Decoration,A beautiful Tulip Garden, isometric, pixel art, city-building game style, no background, vibrant colors
Daffodil Cluster,Decoration,A beautiful Daffodil Cluster, isometric, pixel art, city-building game style, no background, vibrant colors
Lavender Patch,Decoration,A beautiful Lavender Patch, isometric, pixel art, city-building game style, no background, vibrant colors
Hydrangea Bush,Decoration,A beautiful Hydrangea Bush, isometric, pixel art, city-building game style, no background, vibrant colors
Azalea Bush,Decoration,A beautiful Azalea Bush, isometric, pixel art, city-building game style, no background, vibrant colors
Garden Bench,Decoration,A beautiful Garden Bench, isometric, pixel art, city-building game style, no background, vibrant colors
Picnic Table,Decoration,A beautiful Picnic Table, isometric, pixel art, city-building game style, no background, vibrant colors
Wooden Fence,Decoration,A beautiful Wooden Fence, isometric, pixel art, city-building game style, no background, vibrant colors
White Picket Fence,Decoration,A beautiful White Picket Fence, isometric, pixel art, city-building game style, no background, vibrant colors
Stone Path,Decoration,A beautiful Stone Path, isometric, pixel art, city-building game style, no background, vibrant colors
Brick Path,Decoration,A beautiful Brick Path, isometric, pixel art, city-building game style, no background, vibrant colors
Gravel Path,Decoration,A beautiful Gravel Path, isometric, pixel art, city-building game style, no background, vibrant colors
Cobblestone Path,Decoration,A beautiful Cobblestone Path, isometric, pixel art, city-building game style, no background, vibrant colors
Fountain,Decoration,A beautiful Fountain, isometric, pixel art, city-building game style, no background, vibrant colors
Bird Bath,Decoration,A beautiful Bird Bath, isometric, pixel art, city-building game style, no background, vibrant colors
Gazebo,Decoration,A beautiful Gazebo, isometric, pixel art, city-building game style, no background, vibrant colors
Pergola,Decoration,A beautiful Pergola, isometric, pixel art, city-building game style, no background, vibrant colors
Arbor,Decoration,A beautiful Arbor, isometric, pixel art, city-building game style, no background, vibrant colors
Trellis,Decoration,A beautiful Trellis, isometric, pixel art, city-building game style, no background, vibrant colors
Ivy Archway,Decoration,A beautiful Ivy Archway, isometric, pixel art, city-building game style, no background, vibrant colors
Topiary,Decoration,A beautiful Topiary, isometric, pixel art, city-building game style, no background, vibrant colors
Small Hedge,Decoration,A beautiful Small Hedge, isometric, pixel art, city-building game style, no background, vibrant colors
Large Hedge,Decoration,A beautiful Large Hedge, isometric, pixel art, city-building game style, no background, vibrant colors
Decorative Rock,Decoration,A beautiful Decorative Rock, isometric, pixel art, city-building game style, no background, vibrant colors
Boulder,Decoration,A beautiful Boulder, isometric, pixel art, city-building game style, no background, vibrant colors
Rock Garden,Decoration,A beautiful Rock Garden, isometric, pixel art, city-building game style, no background, vibrant colors
Water Feature,Decoration,A beautiful Water Feature, isometric, pixel art, city-building game style, no background, vibrant colors
Koi Pond,Decoration,A beautiful Koi Pond, isometric, pixel art, city-building game style, no background, vibrant colors
Lily Pond,Decoration,A beautiful Lily Pond, isometric, pixel art, city-building game style, no background, vibrant colors
Small Bridge,Decoration,A beautiful Small Bridge, isometric, pixel art, city-building game style, no background, vibrant colors
Wooden Bridge,Decoration,A beautiful Wooden Bridge, isometric, pixel art, city-building game style, no background, vibrant colors
Stone Bridge,Decoration,A beautiful Stone Bridge, isometric, pixel art, city-building game style, no background, vibrant colors
Lamp Post,Decoration,A beautiful Lamp Post, isometric, pixel art, city-building game style, no background, vibrant colors
Lantern Post,Decoration,A beautiful Lantern Post, isometric, pixel art, city-building game style, no background, vibrant colors
Fairy Lights,Decoration,A beautiful Fairy Lights, isometric, pixel art, city-building game style, no background, vibrant colors
String Lights,Decoration,A beautiful String Lights, isometric, pixel art, city-building game style, no background, vibrant colors
Hanging Lanterns,Decoration,A beautiful Hanging Lanterns, isometric, pixel art, city-building game style, no background, vibrant colors
Street Clock,Decoration,A beautiful Street Clock, isometric, pixel art, city-building game style, no background, vibrant colors
Bicycle Rack,Decoration,A beautiful Bicycle Rack, isometric, pixel art, city-building game style, no background, vibrant colors
Trash Can,Decoration,A beautiful Trash Can, isometric, pixel art, city-building game style, no background, vibrant colors
Mailbox,Decoration,A beautiful Mailbox, isometric, pixel art, city-building game style, no background, vibrant colors
Fire Hydrant,Decoration,A beautiful Fire Hydrant, isometric, pixel art, city-building game style, no background, vibrant colors
Community Bulletin Board,Decoration,A beautiful Community Bulletin Board, isometric, pixel art, city-building game style, no background, vibrant colors
Welcome Sign,Decoration,A beautiful Welcome Sign, isometric, pixel art, city-building game style, no background, vibrant colors
